TextureSheet	FX						${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Sprites/Fx/fx.png	
TextureSheet	Items					${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Sprites/Items/items.png	
TextureSheet	Props					${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Sprites/Props/props.png
TextureSheet	TileSet					${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Sprites/tileset-sliced.png

Texture         Back					${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Sprites/back.png
Texture         Middle					${CMAKE_SOURCE_DIR}/src/demos/sunnyLand/assets/Sprites/middle.png

Animation		EnemyDeath				FX		6	8	0	0	40	41
Animation		ItemFeedback			FX		4	12	0	41	32	32
Animation		Cherry					Items	7	10	0	0	21	21
Animation		Gems					Items	5	14	0	21	15	13
Animation		House					Props	1	0	0	0	87	108
Animation		Palm					Props	1	0	87	0	79	176
Animation		Pine					Props	1	0	166	0	82	130
Animation		PlantHouse				Props	1	0	248	0	123	103
Animation		TreeHouse				Props	1	0	371	0	119	144
Animation		Tree2					Props	1	0	490	0	119	111
Animation		Door					Props	1	0	0	176	22	33
Animation		Rock1					Props	1	0	22	176	53	53
Animation		Rock2					Props	1	0	75	176	66	57
Animation		StrawHouse				Props	1	0	141	176	128	96
Animation		Tree					Props	1	0	269	176	105	93
Animation		WoodenHouse				Props	1	0	374	176	112	98
Animation		BigCrate				Props	1	0	0	274	32	32
Animation		BlockBig				Props	1	0	32	274	32	32
Animation		Block					Props	1	0	64	274	16	16
Animation		Bush					Props	1	0	80	274	46	28
Animation		CrankDown				Props	1	0	126	274	22	16
Animation		CrankUp					Props	1	0	148	274	22	16
Animation		Crate					Props	1	0	170	274	16	16
Animation		FaceBlock				Props	1	0	186	274	32	32
Animation		PlatformLong			Props	1	0	218	274	32	16
Animation		Rock					Props	1	0	250	274	28	15
Animation		Shrooms					Props	1	0	278	274	16	15
Animation		Sign					Props	1	0	294	274	18	20
Animation		Skulls					Props	1	0	312	274	16	10
Animation		SmallPlatform			Props	1	0	328	274	16	16
Animation		SpikeSkull				Props	1	0	344	274	17	12
Animation		SpikesTop				Props	1	0	361	274	15	9
Animation		Spikes					Props	1	0	376	274	15	10

Animation		GrassyGround1			TileSet	1	0	X	X	X	X
Animation		GrassyGround2			TileSet	1	0	X	X	X	X
Animation		GrassyGrassy3			TileSet	1	0	X	X	X	X
Animation		Ground					TileSet	1	0	X	X	X	X
Animation		LongGroundLeft			TileSet	1	0	X	X	X	X
Animation		GroundSlopeLeft30		TileSet	1	0	X	X	X	X
Animation		GroundSlopeRight30		TileSet	1	0	X	X	X	X
Animation		GrassySlopeLeft30		TileSet	1	0	X	X	X	X
Animation		GrassySlopeRight30		TileSet	1	0	X	X	X	X
Animation		GroundLeft1				TileSet	1	0	X	X	X	X
Animation		GroundEmpty				TileSet	1	0	X	X	X	X
Animation		GroundRight1			TileSet	1	0	X	X	X	X
Animation		ShortGroundRight		TileSet	1	0	X	X	X	X
Animation		ShortGroundLeft			TileSet	1	0	X	X	X	X
Animation		GroundLeft1				TileSet	1	0	X	X	X	X
Animation		GroundTop				TileSet	1	0	X	X	X	X
Animation		GroundRight1			TileSet	1	0	X	X	X	X
Animation		LongGroundRight			TileSet	1	0	X	X	X	X
Animation		GroundSlopeLeft45		TileSet	1	0	X	X	X	X
Animation		GroundSlopeRight45		TileSet	1	0	X	X	X	X
Animation		GrassySlopeLeft45		TileSet	1	0	X	X	X	X
Animation		GrassySlopeRight45		TileSet	1	0	X	X	X	X
Animation		Grass1					TileSet	1	0	X	X	X	X
Animation		Grass2					TileSet	1	0	X	X	X	X
Animation		Pebble1					TileSet	1	0	X	X	X	X
Animation		Pebble2					TileSet	1	0	X	X	X	X
